date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:44:00	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225f975b20-247b%22	https://skidlamer.github.io/robots.txt		(from )
19:44:00	1222/1222	---M-Z	200	added ('OK')	text/html	etag:W/%225f9a1b44-4c6%22	https://skidlamer.github.io/	C:/Website/ee/skidlamer.github.io/index.html	(from )
19:44:00	866/866	---M-Z	200	added ('OK')	text/css	etag:W/%225f9a1b44-362%22	https://skidlamer.github.io/discord/skypeInvite.css	C:/Website/ee/skidlamer.github.io/discord/skypeInvite.css	(from https://skidlamer.github.io/)
19:44:00	5791/5791	---M-Z	200	added ('OK')	text/css	etag:W/%225f9a1b44-169f%22	https://skidlamer.github.io/discord/discordInvite.css	C:/Website/ee/skidlamer.github.io/discord/discordInvite.css	(from https://skidlamer.github.io/)
19:44:00	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225f9a1b44-7918%22	https://skidlamer.github.io/font-awesome/css/font-awesome.min.css	C:/Website/ee/skidlamer.github.io/font-awesome/css/font-awesome.min.css	(from https://skidlamer.github.io/)
19:44:01	4748/4748	---M-Z	200	added ('OK')	application/javascript	etag:W/%225f9a1b44-128c%22	https://skidlamer.github.io/discord/discordInvite.js	C:/Website/ee/skidlamer.github.io/discord/discordInvite.js	(from https://skidlamer.github.io/)
19:44:08	78152/78152	---M--	200	added ('OK')	image/png	etag:CO+lxZKFlOECEAE=	http://img2.wikia.nocookie.net/__cb20121231074133/ladygaga/images/2/23/Skype.PNG	C:/Website/ee/img2.wikia.nocookie.net/__cb20121231074133/ladygaga/images/2/23/Skype.PNG.png_;%20filename_=UTF-8''Skype.PNG.png	(from https://skidlamer.github.io/)
19:44:09	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f9a1b44-2876e%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.eot?v=4.7.0	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfont3e6e.eot	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
19:44:09	165742/165742	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225f9a1b44-2876e%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.eot?	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfontd41d.eot	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
19:44:09	77160/77160	---M--	200	added ('OK')	font/woff2	etag:%225f9a1b44-12d68%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.woff2?v=4.7.0	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfont3e6e.woff2	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
19:44:09	98024/98024	---M--	200	added ('OK')	font/woff	etag:%225f9a1b44-17ee8%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.woff?v=4.7.0	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfont3e6e.woff	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
19:44:09	1628547/1628547	---M--	200	added ('OK')	image/jpeg	etag:%225f9a1b44-18d983%22	https://skidlamer.github.io/imgs/background.jpg	C:/Website/ee/skidlamer.github.io/imgs/background.jpg	(from https://skidlamer.github.io/)
19:44:09	165548/165548	---M-Z	200	added ('OK')	font/ttf	etag:W/%225f9a1b44-286ac%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfont3e6e.ttf	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
19:44:10	444379/444379	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225f9a1b44-6c7db%22	https://skidlamer.github.io/font-awesome/fonts/fontawesome-webfont.svg?v=4.7.0	C:/Website/ee/skidlamer.github.io/font-awesome/fonts/fontawesome-webfont3e6e.svg	(from https://skidlamer.github.io/font-awesome/css/font-awesome.min.css)
